CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
34001001900,New Jersey,Atlantic County,1,1568,756,0,0.0,0.0,1,1,1,1,1,1,36.5,24183.0,1,1,1,1,1,0,0,1,1205.0,1568.0,1205.0,875.0,1139.0,875.0,1568.0,100.0,1139.0,72.61,345.0,22.0,148.0,9.44,507.0,32.33,759.0,48.41,133.0,8.48,2.0,0.13,6.0,0.38,161.0,10.27,424.0,27.04,346.0,45.72,210.0,27.76,1205.0,76.83,875.0,55.79,260.0,16.59,115.0,7.33,348.0,22.21,625.0,39.89,97.0,6.16,1.0,0.06,3.0,0.16,131.0,8.35,325.0,20.71,275.0,36.39,167.0,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.0,345.0,148.0,507.0,759.0,133.0,2.0,6.0,161.0,424.0,331.0,201.0
34001002300,New Jersey,Atlantic County,1,2861,872,0,0.0,0.0,0,0,0,0,0,1,49.5,28344.0,0,0,0,0,0,0,0,0,,267.0,,,130.0,,267.0,9.33,130.0,4.53,54.0,1.9,18.0,0.62,102.0,3.56,33.0,1.15,101.0,3.52,0.0,0.0,2.0,0.06,30.0,1.04,97.0,3.41,64.0,7.38,30.0,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.0,797.0,150.0,762.0,254.0,823.0,0.0,36.0,986.0,1480.0,408.0,252.0
34001002400,New Jersey,Atlantic County,1,2752,1259,0,306.0,11.12,0,0,0,1,1,1,32.6,35717.0,0,0,0,0,0,0,0,1,,384.0,,,261.0,,384.0,13.97,261.0,9.49,28.0,1.0,211.0,7.68,238.0,8.63,54.0,1.95,74.0,2.68,0.0,0.0,0.0,0.0,19.0,0.7,34.0,1.24,159.0,12.62,102.0,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,474.0,433.0,816.0,1181.0,421.0,0.0,19.0,315.0,520.0,694.0,471.0
34001002500,New Jersey,Atlantic County,1,4030,1896,0,238.0,5.91,1,1,1,1,1,1,32.7,32734.0,1,1,1,1,1,0,0,1,1762.0,3447.0,1762.0,975.0,1948.0,975.0,3447.0,85.54,1948.0,48.34,619.0,15.37,689.0,17.09,896.0,22.25,1938.0,48.08,236.0,5.85,1.0,0.02,22.0,0.55,354.0,8.79,672.0,16.67,895.0,47.21,551.0,29.07,1762.0,43.73,975.0,24.21,235.0,5.84,459.0,11.4,533.0,13.24,961.0,23.84,125.0,3.1,0.0,0.01,10.0,0.24,133.0,3.3,263.0,6.53,533.0,28.13,339.0,17.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2202.0,711.0,953.0,1136.0,2118.0,307.0,1.0,25.0,443.0,819.0,1168.0,723.0
34001010101,New Jersey,Atlantic County,1,3497,1467,0,1.0,0.03,0,0,0,0,1,0,6.2,103625.0,1,1,1,1,1,0,0,1,3497.0,3497.0,3497.0,697.0,697.0,697.0,3497.0,100.0,697.0,19.93,664.0,18.99,696.0,19.9,3307.0,94.57,34.0,0.97,53.0,1.52,0.0,0.0,4.0,0.11,99.0,2.83,155.0,4.43,108.0,7.39,86.0,5.85,3497.0,100.0,697.0,19.93,664.0,18.99,696.0,19.9,3307.0,94.57,34.0,0.97,53.0,1.52,0.0,0.0,4.0,0.11,99.0,2.83,155.0,4.43,108.0,7.39,86.0,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.0,664.0,696.0,3307.0,34.0,53.0,0.0,4.0,99.0,155.0,80.0,79.0
34001010102,New Jersey,Atlantic County,1,1702,846,0,0.0,0.0,0,0,0,0,0,0,12.0,94219.0,1,1,1,1,1,0,0,0,1328.0,1687.0,1328.0,348.0,433.0,348.0,1687.0,99.14,433.0,25.43,196.0,11.51,510.0,29.98,1584.0,93.08,18.0,1.03,34.0,1.98,1.0,0.06,3.0,0.18,48.0,2.82,70.0,4.12,88.0,10.39,34.0,4.02,1328.0,78.0,348.0,20.45,153.0,8.99,396.0,23.28,1243.0,73.06,13.0,0.76,28.0,1.64,1.0,0.06,2.0,0.12,40.0,2.36,60.0,3.53,68.0,7.99,27.0,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,197.0,513.0,1595.0,19.0,36.0,1.0,3.0,48.0,71.0,92.0,35.0
34001010104,New Jersey,Atlantic County,1,1491,789,0,3.0,0.2,0,0,0,0,0,0,4.0,90156.0,0,0,0,0,0,0,0,0,0.0,366.0,0.0,0.0,57.0,0.0,366.0,24.51,57.0,3.81,44.0,2.93,82.0,5.48,338.0,22.65,7.0,0.46,8.0,0.55,0.0,0.0,1.0,0.03,12.0,0.82,18.0,1.18,17.0,2.18,21.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,211.0,305.0,1343.0,47.0,35.0,0.0,1.0,65.0,107.0,61.0,75.0
34001010105,New Jersey,Atlantic County,1,2760,1192,0,0.0,0.0,0,0,0,0,0,0,16.1,94464.0,0,1,0,1,0,0,0,0,62.0,1319.0,62.0,17.0,323.0,17.0,1319.0,47.78,323.0,11.7,200.0,7.24,284.0,10.27,959.0,34.74,86.0,3.12,163.0,5.92,1.0,0.02,5.0,0.18,105.0,3.79,122.0,4.41,44.0,3.73,35.0,2.9,62.0,2.24,17.0,0.62,6.0,0.21,23.0,0.84,56.0,2.02,2.0,0.09,2.0,0.07,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.08,2.0,0.19,2.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.0,477.0,542.0,2008.0,175.0,322.0,2.0,8.0,245.0,317.0,86.0,67.0
34001010200,New Jersey,Atlantic County,1,5890,2227,0,150.0,2.55,0,0,0,0,0,0,1.8,93042.0,0,1,0,1,0,0,0,0,173.0,2406.0,173.0,10.0,219.0,10.0,2406.0,40.85,219.0,3.72,481.0,8.16,491.0,8.33,2129.0,36.15,120.0,2.05,79.0,1.34,0.0,0.0,1.0,0.02,77.0,1.3,97.0,1.65,52.0,2.34,28.0,1.25,173.0,2.95,10.0,0.17,39.0,0.66,33.0,0.55,163.0,2.77,4.0,0.07,3.0,0.06,0.0,0.0,0.0,0.0,3.0,0.05,7.0,0.12,5.0,0.22,2.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.0,1193.0,1087.0,5174.0,280.0,182.0,0.0,21.0,233.0,362.0,104.0,70.0
34001010300,New Jersey,Atlantic County,1,2521,952,0,0.0,0.0,0,1,0,0,0,1,18.0,44841.0,0,1,0,1,0,0,0,0,36.0,1522.0,36.0,20.0,717.0,20.0,1522.0,60.39,717.0,28.43,346.0,13.74,199.0,7.89,622.0,24.69,394.0,15.64,370.0,14.68,0.0,0.0,5.0,0.2,131.0,5.19,152.0,6.03,65.0,6.8,122.0,12.86,36.0,1.43,20.0,0.81,1.0,0.03,11.0,0.44,26.0,1.05,7.0,0.27,2.0,0.08,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.03,1.0,0.1,4.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.0,559.0,344.0,1256.0,552.0,485.0,0.0,11.0,217.0,269.0,116.0,193.0
34001010401,New Jersey,Atlantic County,0,5536,2230,0,0.0,0.0,0,0,0,0,0,0,1.9,96895.0,0,0,0,0,0,0,0,0,,,,,,,4965.0,89.68,316.0,5.7,1040.0,18.78,777.0,14.03,4326.0,78.15,355.0,6.42,97.0,1.74,0.0,0.0,10.0,0.19,176.0,3.18,262.0,4.74,59.0,2.63,98.0,4.41,4635.0,83.72,271.0,4.9,956.0,17.27,739.0,13.35,4088.0,73.84,296.0,5.34,93.0,1.68,0.0,0.0,10.0,0.18,148.0,2.68,217.0,3.92,47.0,2.11,92.0,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.0,1145.0,947.0,4799.0,418.0,99.0,1.0,12.0,207.0,350.0,87.0,114.0
34001010403,New Jersey,Atlantic County,1,6992,2062,0,409.0,5.85,0,0,0,0,1,0,5.9,85875.0,1,1,1,1,1,0,0,1,6992.0,6992.0,6992.0,1708.0,1708.0,1708.0,6992.0,100.0,1708.0,24.43,1861.0,26.62,1005.0,14.37,4028.0,57.61,743.0,10.63,1570.0,22.45,0.0,0.0,31.0,0.44,620.0,8.87,933.0,13.34,178.0,8.63,290.0,14.08,6992.0,100.0,1708.0,24.43,1861.0,26.62,1005.0,14.37,4028.0,57.61,743.0,10.63,1570.0,22.45,0.0,0.0,31.0,0.44,620.0,8.87,933.0,13.34,178.0,8.63,290.0,14.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1541.0,1861.0,1005.0,4028.0,743.0,1570.0,0.0,31.0,620.0,933.0,170.0,307.0
34001010501,New Jersey,Atlantic County,1,7299,3189,0,10.0,0.14,0,0,0,0,1,0,4.5,92177.0,1,1,1,1,1,0,0,1,7212.0,7299.0,7212.0,1052.0,1066.0,1052.0,7299.0,100.0,1066.0,14.6,1320.0,18.08,1751.0,23.99,6535.0,89.53,314.0,4.3,235.0,3.22,2.0,0.03,8.0,0.11,205.0,2.81,357.0,4.89,153.0,4.79,106.0,3.34,7212.0,98.8,1052.0,14.41,1311.0,17.97,1704.0,23.34,6453.0,88.42,312.0,4.27,232.0,3.18,2.0,0.03,8.0,0.11,204.0,2.8,355.0,4.87,153.0,4.79,105.0,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.0,1320.0,1751.0,6535.0,314.0,235.0,2.0,8.0,205.0,357.0,162.0,103.0
34001010503,New Jersey,Atlantic County,1,7718,3100,0,0.0,0.0,1,1,1,1,1,1,14.9,46992.0,1,1,1,1,1,0,0,1,7200.0,7718.0,7200.0,3609.0,3819.0,3609.0,7718.0,100.0,3819.0,49.49,1965.0,25.46,662.0,8.58,3914.0,50.71,2134.0,27.65,867.0,11.23,2.0,0.03,21.0,0.27,780.0,10.11,1328.0,17.21,276.0,8.9,389.0,12.53,7200.0,93.29,3609.0,46.76,1836.0,23.79,626.0,8.11,3590.0,46.51,2022.0,26.2,825.0,10.69,2.0,0.03,19.0,0.24,742.0,9.62,1267.0,16.42,276.0,8.9,361.0,11.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3473.0,1965.0,662.0,3914.0,2134.0,867.0,2.0,21.0,780.0,1328.0,296.0,379.0
34001010505,New Jersey,Atlantic County,0,3044,1030,0,36.0,1.18,0,0,0,0,0,0,6.1,91063.0,0,0,0,0,0,0,0,0,,,,,,,2650.0,87.06,463.0,15.22,597.0,19.61,298.0,9.78,2209.0,72.58,126.0,4.13,157.0,5.16,1.0,0.03,8.0,0.26,149.0,4.89,205.0,6.75,9.0,0.83,45.0,4.42,1376.0,45.19,292.0,9.59,308.0,10.12,171.0,5.61,1148.0,37.71,69.0,2.26,64.0,2.1,1.0,0.03,6.0,0.18,88.0,2.9,119.0,3.9,3.0,0.25,24.0,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.0,690.0,337.0,2547.0,139.0,189.0,1.0,9.0,159.0,218.0,9.0,48.0
34001010506,New Jersey,Atlantic County,1,5458,1853,0,0.0,0.0,0,0,0,0,1,0,8.3,90475.0,1,1,1,1,1,0,0,1,2578.0,4972.0,2578.0,462.0,1051.0,462.0,4972.0,91.1,1051.0,19.26,1109.0,20.33,484.0,8.86,3723.0,68.21,281.0,5.15,698.0,12.79,2.0,0.04,19.0,0.35,249.0,4.56,367.0,6.73,183.0,9.88,158.0,8.55,2578.0,47.24,462.0,8.46,594.0,10.88,218.0,4.0,1994.0,36.53,166.0,3.05,285.0,5.22,2.0,0.04,3.0,0.06,128.0,2.34,225.0,4.13,82.0,4.45,81.0,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.0,1222.0,560.0,4140.0,299.0,728.0,2.0,19.0,270.0,402.0,193.0,169.0
34001010600,New Jersey,Atlantic County,1,4243,1593,0,33.0,0.78,1,1,1,0,0,1,19.4,48438.0,1,1,1,1,1,0,0,0,577.0,1890.0,577.0,157.0,781.0,157.0,1890.0,44.55,781.0,18.42,481.0,11.34,247.0,5.82,1190.0,28.05,373.0,8.8,24.0,0.56,2.0,0.05,8.0,0.19,293.0,6.91,427.0,10.07,79.0,4.98,112.0,7.02,577.0,13.59,157.0,3.69,209.0,4.93,37.0,0.87,211.0,4.97,196.0,4.61,1.0,0.02,2.0,0.05,4.0,0.1,163.0,3.84,233.0,5.49,23.0,1.47,29.0,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.0,1056.0,501.0,2671.0,761.0,94.0,4.0,16.0,697.0,1115.0,150.0,223.0
34001010700,New Jersey,Atlantic County,0,6147,2154,0,87.0,1.42,0,0,0,1,1,1,9.4,75658.0,0,0,0,0,0,0,0,1,,,,,,,6147.0,100.0,1594.0,25.93,1422.0,23.13,818.0,13.31,5118.0,83.26,349.0,5.68,42.0,0.68,2.0,0.03,14.0,0.23,622.0,10.12,1046.0,17.02,111.0,5.16,213.0,9.9,6090.0,99.07,1575.0,25.62,1405.0,22.85,811.0,13.2,5066.0,82.41,349.0,5.68,42.0,0.68,2.0,0.03,14.0,0.23,617.0,10.03,1039.0,16.9,110.0,5.1,211.0,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.0,1422.0,818.0,5118.0,349.0,42.0,2.0,14.0,622.0,1046.0,115.0,225.0
34001010800,New Jersey,Atlantic County,1,3106,1161,0,202.0,6.5,0,0,0,0,1,0,15.3,80357.0,1,1,1,1,1,0,0,1,588.0,1835.0,588.0,158.0,494.0,158.0,1835.0,59.09,494.0,15.91,360.0,11.58,407.0,13.09,1525.0,49.1,30.0,0.96,15.0,0.49,0.0,0.0,11.0,0.34,255.0,8.2,328.0,10.55,116.0,9.96,46.0,3.96,588.0,18.92,158.0,5.09,114.0,3.66,121.0,3.9,456.0,14.67,5.0,0.16,5.0,0.15,0.0,0.0,4.0,0.14,118.0,3.8,141.0,4.54,33.0,2.83,13.0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.0,622.0,756.0,2536.0,73.0,31.0,0.0,19.0,447.0,622.0,181.0,72.0
34001010900,New Jersey,Atlantic County,1,5880,2228,0,28.0,0.48,0,0,0,0,0,0,9.6,90448.0,1,1,1,1,1,0,0,0,1878.0,4195.0,1878.0,402.0,779.0,402.0,4195.0,71.35,779.0,13.25,975.0,16.58,576.0,9.8,3523.0,59.92,170.0,2.89,91.0,1.55,1.0,0.02,8.0,0.14,402.0,6.83,652.0,11.08,93.0,4.19,90.0,4.06,1878.0,31.93,402.0,6.84,466.0,7.92,220.0,3.73,1532.0,26.05,100.0,1.71,43.0,0.73,1.0,0.01,1.0,0.02,201.0,3.41,326.0,5.55,21.0,0.92,38.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.0,1417.0,818.0,4788.0,250.0,108.0,1.0,10.0,723.0,1113.0,152.0,125.0
34001011000,New Jersey,Atlantic County,0,2666,953,0,50.0,1.88,0,0,0,0,0,0,5.5,99545.0,0,0,0,0,0,0,0,0,,,,,,,1739.0,65.24,362.0,13.59,423.0,15.86,222.0,8.33,1546.0,57.99,36.0,1.36,16.0,0.59,0.0,0.0,3.0,0.12,138.0,5.17,252.0,9.46,17.0,1.81,55.0,5.79,1177.0,44.14,245.0,9.2,269.0,10.07,150.0,5.61,1078.0,40.43,21.0,0.78,11.0,0.39,0.0,0.0,0.0,0.01,67.0,2.53,142.0,5.32,12.0,1.21,37.0,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.0,635.0,372.0,2358.0,52.0,22.0,0.0,5.0,229.0,421.0,40.0,79.0
